case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4399.579805756833,4399.579805756833,4399.579805756833,4.296464654059407,8774.375,0.058187375,16,8.46875,VERIFIED
smoke-r1,redb,1,1773.805697143783,1773.805697143783,1773.805697143783,1.7322321261169755,20054.665999999997,0.144322459,16,9.375,VERIFIED
smoke-r1,rocksdb,1,3981.590308448358,3981.590308448358,3981.590308448358,3.8882717855940996,8275.332999999999,0.064295917,16,10.234375,VERIFIED
smoke-r1,segment,1,1306.4346201989918,1306.4346201989918,1306.4346201989918,1.2758150587880779,27331.25,0.195953166,16,7.265625,VERIFIED
smoke-r3,fjall,1,2182.435866969451,2182.435866969451,2182.435866969451,2.1312850263373546,17216.625,0.117300125,16,25.15625,VERIFIED
smoke-r3,redb,1,883.6009605322304,883.6009605322304,883.6009605322304,0.8628915630197562,40975.625,0.289723542,16,28.640625,VERIFIED
smoke-r3,rocksdb,1,1447.0474630098208,1447.0474630098208,1447.0474630098208,1.4131322880955282,24695.75,0.176911958,16,32.25,VERIFIED
smoke-r3,segment,1,457.31520127626385,457.31520127626385,457.31520127626385,0.4465968762463514,87830.708,0.559788958,16,22.140625,VERIFIED
