case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4108.363478985303,4108.363478985303,4108.363478985303,4.012073709946585,9174.625,0.062311916,16,8.4375,VERIFIED
smoke-r1,redb,1,1606.7975066394158,1606.7975066394158,1606.7975066394158,1.5691381900775545,24093.333000000002,0.159323125,16,9.265625,VERIFIED
smoke-r1,rocksdb,1,3950.7620842584897,3950.7620842584897,3950.7620842584897,3.8581660979086814,11936.625,0.064797625,16,10.203125,VERIFIED
smoke-r1,segment,1,1211.3641095527416,1211.3641095527416,1211.3641095527416,1.1829727632350993,29312.75,0.211332,16,7.28125,VERIFIED
smoke-r3,fjall,1,1993.9739303798083,1993.9739303798083,1993.9739303798083,1.9472401663865315,16772.792,0.128386834,16,26.953125,VERIFIED
smoke-r3,redb,1,741.8875064845605,741.8875064845605,741.8875064845605,0.7244995180513286,53797.334,0.345065792,16,28.0625,VERIFIED
smoke-r3,rocksdb,1,1260.1670685196696,1260.1670685196696,1260.1670685196696,1.2306319028512398,65186.833,0.203147667,16,32.109375,VERIFIED
smoke-r3,segment,1,446.4912175474006,446.4912175474006,446.4912175474006,0.4360265796361334,88249.542,0.573359542,16,22.0625,VERIFIED
