case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4195.7669464527535,4195.7669464527535,4195.7669464527535,4.097428658645267,8852.667,0.061013875,16,8.390625,VERIFIED
smoke-r1,redb,1,1578.3884099432305,1578.3884099432305,1578.3884099432305,1.541394931585186,24581.125,0.16219075,16,9.25,VERIFIED
smoke-r1,rocksdb,1,4042.472298366416,4042.472298366416,4042.472298366416,3.947726853873453,13409.417,0.063327583,16,10.265625,VERIFIED
smoke-r1,segment,1,1321.792883584837,1321.792883584837,1321.792883584837,1.2908133628758174,26256.791,0.193676334,16,7.265625,VERIFIED
smoke-r3,fjall,1,2125.846368155486,2125.846368155486,2125.846368155486,2.0760218439018416,16336.208,0.120422625,16,25.171875,VERIFIED
smoke-r3,redb,1,719.3211954700163,719.3211954700163,719.3211954700163,0.7024621049511878,60201.625,0.355891084,16,28.171875,VERIFIED
smoke-r3,rocksdb,1,1479.4309969689,1479.4309969689,1479.4309969689,1.4447568329774414,24173.5,0.1730395,16,32.53125,VERIFIED
smoke-r3,segment,1,472.1437850305444,472.1437850305444,472.1437850305444,0.461077915068891,73071.083,0.542207709,16,21.953125,VERIFIED
