case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,7960.157669579265,7960.157669579265,7960.157669579265,7.773591474198501,4238.833,0.032160167,16,8.328125,VERIFIED
smoke-r1,redb,1,1725.4244227302775,1725.4244227302775,1725.4244227302775,1.6849847878225366,20212.792,0.148369292,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,3891.3093457926166,3891.3093457926166,3891.3093457926166,3.800106783000602,9105.75,0.065787625,16,10.3125,VERIFIED
smoke-r1,segment,1,1265.9970221574106,1265.9970221574106,1265.9970221574106,1.2363252169505963,30009.875,0.202212166,16,7.25,VERIFIED
smoke-r3,fjall,1,2059.0978455305335,2059.0978455305335,2059.0978455305335,2.0108377397759116,18009.792,0.124326292,16,27.0,VERIFIED
smoke-r3,redb,1,750.7611163409574,750.7611163409574,750.7611163409574,0.7331651526767162,48396.75,0.340987292,16,28.078125,VERIFIED
smoke-r3,rocksdb,1,1555.1973593137639,1555.1973593137639,1555.1973593137639,1.5187474212048475,24067.375,0.164609333,16,32.109375,VERIFIED
smoke-r3,segment,1,369.0759081736257,369.0759081736257,369.0759081736257,0.36042569157580634,140630.70799999998,0.69362425,16,22.03125,VERIFIED
