case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,3940.5808434634737,3940.5808434634737,3940.5808434634737,3.8482234799447985,9043.083,0.064965042,16,8.421875,VERIFIED
smoke-r1,redb,1,2039.305088309956,2039.305088309956,2039.305088309956,1.9915088753026915,19765.375,0.125532958,16,9.375,VERIFIED
smoke-r1,rocksdb,1,3956.2443699822243,3956.2443699822243,3956.2443699822243,3.863519892560766,8771.584,0.064707833,16,10.3125,VERIFIED
smoke-r1,segment,1,1321.6854093101988,1321.6854093101988,1321.6854093101988,1.290708407529491,28085.333,0.193692083,16,7.25,VERIFIED
smoke-r3,fjall,1,2090.514799476963,2090.514799476963,2090.514799476963,2.041518358864222,22549.708000000002,0.122457875,16,25.171875,VERIFIED
smoke-r3,redb,1,750.7985475755172,750.7985475755172,750.7985475755172,0.733201706616716,50296.417,0.340970292,16,28.015625,VERIFIED
smoke-r3,rocksdb,1,1520.008371921111,1520.008371921111,1520.008371921111,1.4843831757042099,24062.791,0.168420125,16,32.609375,VERIFIED
smoke-r3,segment,1,469.9393691018077,469.9393691018077,469.9393691018077,0.4589251651384841,81076.5,0.544751125,16,21.9375,VERIFIED
