case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4130.453533801454,4130.453533801454,4130.453533801454,4.033646029102982,8933.208,0.061978666,16,8.359375,VERIFIED
smoke-r1,redb,1,1664.7568675594025,1664.7568675594025,1664.7568675594025,1.625739128475979,20235.541999999998,0.153776209,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,3943.443928193891,3943.443928193891,3943.443928193891,3.851019461126847,8885.25,0.064917875,16,10.28125,VERIFIED
smoke-r1,segment,1,1327.0110242995936,1327.0110242995936,1327.0110242995936,1.2959092034175719,26338.792,0.19291475,16,7.28125,VERIFIED
smoke-r3,fjall,1,1903.3109417227156,1903.3109417227156,1903.3109417227156,1.8587020915260895,21333.875,0.134502458,16,27.078125,VERIFIED
smoke-r3,redb,1,753.3628203464982,753.3628203464982,753.3628203464982,0.7357058792446272,50717.0,0.339809708,16,28.21875,VERIFIED
smoke-r3,rocksdb,1,1511.0517855390644,1511.0517855390644,1511.0517855390644,1.4756365093154926,24538.208,0.169418416,16,32.296875,VERIFIED
smoke-r3,segment,1,480.7744594442883,480.7744594442883,480.7744594442883,0.4695063080510628,76981.708,0.532474209,16,22.125,VERIFIED
