case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4888.60212484619,4888.60212484619,4888.60212484619,4.774025512545108,8181.4169999999995,0.052366708,16,8.46875,VERIFIED
smoke-r1,redb,1,1555.259159881079,1555.259159881079,1555.259159881079,1.5188077733213663,27620.540999999997,0.164602792,16,9.140625,VERIFIED
smoke-r1,rocksdb,1,3842.6898829180427,3842.6898829180427,3842.6898829180427,3.752626838787151,9243.667000000001,0.06662,16,10.296875,VERIFIED
smoke-r1,segment,1,1275.8805008329357,1275.8805008329357,1275.8805008329357,1.2459770515946638,29617.042,0.20064575,16,7.296875,VERIFIED
smoke-r3,fjall,1,2049.2336386504676,2049.2336386504676,2049.2336386504676,2.0012047252445972,21468.667,0.12492475,16,25.25,VERIFIED
smoke-r3,redb,1,760.1694940418747,760.1694940418747,760.1694940418747,0.7423530215252683,45934.458999999995,0.336767,16,28.234375,VERIFIED
smoke-r3,rocksdb,1,1387.3859852565201,1387.3859852565201,1387.3859852565201,1.3548691262270705,26218.792,0.184519667,16,32.296875,VERIFIED
smoke-r3,segment,1,432.7272827156511,432.7272827156511,432.7272827156511,0.422585237027003,97903.75,0.591596625,16,22.0,VERIFIED
