case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4067.7104729530147,4067.7104729530147,4067.7104729530147,3.9723735087431784,11144.792000000001,0.062934666,16,8.4375,VERIFIED
smoke-r1,redb,1,1647.9665486480144,1647.9665486480144,1647.9665486480144,1.6093423326640766,20423.041999999998,0.155342959,16,9.265625,VERIFIED
smoke-r1,rocksdb,1,4023.2331024956197,4023.2331024956197,4023.2331024956197,3.9289385766558786,8144.3330000000005,0.063630417,16,10.28125,VERIFIED
smoke-r1,segment,1,1321.348571035588,1321.348571035588,1321.348571035588,1.2903794639019415,25009.166999999998,0.193741459,16,7.28125,VERIFIED
smoke-r3,fjall,1,2124.216902460275,2124.216902460275,2124.216902460275,2.0744305688088622,16506.834000000003,0.120515,16,25.296875,VERIFIED
smoke-r3,redb,1,741.1451602365535,741.1451602365535,741.1451602365535,0.7237745705435092,48422.083,0.345411417,16,28.03125,VERIFIED
smoke-r3,rocksdb,1,1408.3677255173163,1408.3677255173163,1408.3677255173163,1.3753591069505042,25005.709000000003,0.181770709,16,32.1875,VERIFIED
smoke-r3,segment,1,481.5166269007916,481.5166269007916,481.5166269007916,0.4702310809578043,76438.625,0.5316535,16,22.0625,VERIFIED
