case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4602.895444187142,4602.895444187142,4602.895444187142,4.495015082214006,9094.125,0.055617166,16,8.390625,VERIFIED
smoke-r1,redb,1,1652.7649550404676,1652.7649550404676,1652.7649550404676,1.6140282764067067,20339.834000000003,0.154891958,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,3679.8704202629074,3679.8704202629074,3679.8704202629074,3.5936234572879955,13583.0,0.069567667,16,10.265625,VERIFIED
smoke-r1,segment,1,1222.1164873983296,1222.1164873983296,1222.1164873983296,1.1934731322249312,42278.667,0.209472667,16,7.265625,VERIFIED
smoke-r3,fjall,1,1979.8840685070822,1979.8840685070822,1979.8840685070822,1.9334805356514475,20151.958000000002,0.1293005,16,25.234375,VERIFIED
smoke-r3,redb,1,760.421921053424,760.421921053424,760.421921053424,0.7425995322787343,47125.959,0.336655208,16,28.015625,VERIFIED
smoke-r3,rocksdb,1,1478.5512632609154,1478.5512632609154,1478.5512632609154,1.4438977180282377,24183.333000000002,0.173142458,16,32.390625,VERIFIED
smoke-r3,segment,1,498.28232932928057,498.28232932928057,498.28232932928057,0.48660383723562556,83954.042,0.513764958,16,21.984375,VERIFIED
