case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4141.677132355819,4141.677132355819,4141.677132355819,4.044606574566229,8713.458,0.061810709,16,8.390625,VERIFIED
smoke-r1,redb,1,1640.0273479685359,1640.0273479685359,1640.0273479685359,1.6015892070005233,20197.416999999998,0.156094958,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,4238.656213522307,4238.656213522307,4238.656213522307,4.139312708517878,8255.5,0.0603965,16,10.234375,VERIFIED
smoke-r1,segment,1,1316.1079750611523,1316.1079750611523,1316.1079750611523,1.2852616943956565,25487.0,0.194512916,16,7.265625,VERIFIED
smoke-r3,fjall,1,2064.489773489424,2064.489773489424,2064.489773489424,2.0161032944232655,16558.083000000002,0.124001583,16,25.25,VERIFIED
smoke-r3,redb,1,736.1886430944488,736.1886430944488,736.1886430944488,0.7189342217719227,48234.583,0.347736959,16,28.09375,VERIFIED
smoke-r3,rocksdb,1,1452.5626240316842,1452.5626240316842,1452.5626240316842,1.4185181875309416,24416.5,0.17624025,16,32.15625,VERIFIED
smoke-r3,segment,1,465.6974490103361,465.6974490103361,465.6974490103361,0.4547826650491563,77984.792,0.549713125,16,21.984375,VERIFIED
