case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,3934.0608979411013,3934.0608979411013,3934.0608979411013,3.8418563456456067,9819.792000000001,0.065072709,16,8.375,VERIFIED
smoke-r1,redb,1,1684.0171080876778,1684.0171080876778,1684.0171080876778,1.6445479571168728,20531.5,0.152017458,16,9.265625,VERIFIED
smoke-r1,rocksdb,1,3591.0630392459843,3591.0630392459843,3591.0630392459843,3.5068974992636566,10370.875,0.071288083,16,10.234375,VERIFIED
smoke-r1,segment,1,1296.4391202975887,1296.4391202975887,1296.4391202975887,1.266053828415614,29253.167,0.197463958,16,7.21875,VERIFIED
smoke-r3,fjall,1,2187.50288658523,2187.50288658523,2187.50288658523,2.1362332876808887,16880.458000000002,0.117028417,16,25.140625,VERIFIED
smoke-r3,redb,1,758.2797064694518,758.2797064694518,758.2797064694518,0.740507525849074,49266.083,0.337606292,16,28.328125,VERIFIED
smoke-r3,rocksdb,1,1463.3937233431186,1463.3937233431186,1463.3937233431186,1.4290954329522643,27125.916,0.174935833,16,32.21875,VERIFIED
smoke-r3,segment,1,478.29916071108704,478.29916071108704,478.29916071108704,0.46708902413192094,75330.208,0.535229875,16,22.0,VERIFIED
