case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4236.066942896841,4236.066942896841,4236.066942896841,4.136784123922697,9009.958,0.060433417,16,8.40625,VERIFIED
smoke-r1,redb,1,1714.6909516381397,1714.6909516381397,1714.6909516381397,1.6745028824591208,20712.292,0.149298041,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,3765.0265186554343,3765.0265186554343,3765.0265186554343,3.6767837096244476,11921.042,0.067994209,16,10.265625,VERIFIED
smoke-r1,segment,1,1217.3517842461183,1217.3517842461183,1217.3517842461183,1.18882010180285,30009.083,0.210292541,16,7.328125,VERIFIED
smoke-r3,fjall,1,2102.768713922834,2102.768713922834,2102.768713922834,2.0534850721902678,20246.334000000003,0.12174425,16,25.203125,VERIFIED
smoke-r3,redb,1,774.3488849590817,774.3488849590817,774.3488849590817,0.7562000829678532,48950.292,0.330600334,16,28.03125,VERIFIED
smoke-r3,rocksdb,1,1497.369735530229,1497.369735530229,1497.369735530229,1.4622751323537393,23959.792,0.170966458,16,32.46875,VERIFIED
smoke-r3,segment,1,487.10457240876065,487.10457240876065,487.10457240876065,0.4756880589929303,76105.417,0.5255545,16,22.171875,VERIFIED
