case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4046.479187700916,4046.479187700916,4046.479187700916,3.951639831739176,9086.791000000001,0.063264875,16,8.40625,VERIFIED
smoke-r1,redb,1,1635.9539216962798,1635.9539216962798,1635.9539216962798,1.5976112516565233,20353.708000000002,0.156483625,16,9.28125,VERIFIED
smoke-r1,rocksdb,1,4453.177543091842,4453.177543091842,4453.177543091842,4.348806194425627,8041.333,0.057487041,16,10.328125,VERIFIED
smoke-r1,segment,1,1047.237320654933,1047.237320654933,1047.237320654933,1.022692695952083,36258.5,0.244452709,16,7.28125,VERIFIED
smoke-r3,fjall,1,1770.771547989811,1770.771547989811,1770.771547989811,1.7292690898338,28681.375,0.14456975,16,27.0,VERIFIED
smoke-r3,redb,1,697.3162756225495,697.3162756225495,697.3162756225495,0.680972925412646,48908.333,0.367121791,16,28.078125,VERIFIED
smoke-r3,rocksdb,1,1632.6261666237986,1632.6261666237986,1632.6261666237986,1.5943614908435533,20707.125,0.156802583,16,32.640625,VERIFIED
smoke-r3,segment,1,434.847322514666,434.847322514666,434.847322514666,0.42465558839322853,82911.54100000001,0.588712375,16,21.953125,VERIFIED
