case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4210.327225480703,4210.327225480703,4210.327225480703,4.111647681133499,9997.875,0.060802875,16,8.359375,VERIFIED
smoke-r1,redb,1,1563.254568019148,1563.254568019148,1563.254568019148,1.5266157890811993,23732.291999999998,0.163760916,16,9.328125,VERIFIED
smoke-r1,rocksdb,1,3930.673242027888,3930.673242027888,3930.673242027888,3.8385480879178595,9388.0,0.065128792,16,10.3125,VERIFIED
smoke-r1,segment,1,1237.89082262318,1237.89082262318,1237.89082262318,1.2088777564679491,32329.125,0.206803375,16,7.25,VERIFIED
smoke-r3,fjall,1,1930.551676332333,1930.551676332333,1930.551676332333,1.885304371418294,24208.166,0.132604583,16,25.140625,VERIFIED
smoke-r3,redb,1,755.2035486259546,755.2035486259546,755.2035486259546,0.7375034654550338,48993.958,0.338981458,16,27.984375,VERIFIED
smoke-r3,rocksdb,1,1482.2495578119535,1482.2495578119535,1482.2495578119535,1.4475093338007359,24966.25,0.172710458,16,32.421875,VERIFIED
smoke-r3,segment,1,476.94039043249524,476.94039043249524,476.94039043249524,0.46576210003173363,75833.5,0.536754708,16,21.9375,VERIFIED
