case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4315.340106956379,4315.340106956379,4315.340106956379,4.214199323199589,9869.666,0.05932325,16,8.4375,VERIFIED
smoke-r1,redb,1,1621.2514860733104,1621.2514860733104,1621.2514860733104,1.5832534043684672,24065.541999999998,0.157902708,16,9.21875,VERIFIED
smoke-r1,rocksdb,1,3885.993157767907,3885.993157767907,3885.993157767907,3.794915193132722,15218.042,0.065877625,16,10.203125,VERIFIED
smoke-r1,segment,1,1329.763631345951,1329.763631345951,1329.763631345951,1.2985972962362802,26463.875,0.192515417,16,7.234375,VERIFIED
smoke-r3,fjall,1,2106.1414327283783,2106.1414327283783,2106.1414327283783,2.056778742898807,18045.583,0.121549292,16,25.203125,VERIFIED
smoke-r3,redb,1,757.8275840945951,757.8275840945951,757.8275840945951,0.740066000092378,48089.458,0.337807709,16,28.21875,VERIFIED
smoke-r3,rocksdb,1,1505.393100183617,1505.393100183617,1505.393100183617,1.4701104493980635,28865.833,0.17005525,16,32.359375,VERIFIED
smoke-r3,segment,1,491.00742721233973,491.00742721233973,491.00742721233973,0.4794994406370505,72178.125,0.521377042,16,22.0625,VERIFIED
