case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,5370.497962430975,5370.497962430975,5370.497962430975,5.244626916436499,8307.041,0.047667833,16,8.4375,VERIFIED
smoke-r1,redb,1,1803.0433484160258,1803.0433484160258,1803.0433484160258,1.7607845199375252,22581.584,0.141982166,16,9.40625,VERIFIED
smoke-r1,rocksdb,1,3977.2679251736695,3977.2679251736695,3977.2679251736695,3.8840507081774116,8272.25,0.064365792,16,10.3125,VERIFIED
smoke-r1,segment,1,1305.6555905063803,1305.6555905063803,1305.6555905063803,1.275054287603887,31932.165999999997,0.196070083,16,7.203125,VERIFIED
smoke-r3,fjall,1,2238.704000262348,2238.704000262348,2238.704000262348,2.1862343752561992,17269.834000000003,0.114351875,16,25.234375,VERIFIED
smoke-r3,redb,1,746.2333964053104,746.2333964053104,746.2333964053104,0.7287435511770609,47865.5,0.343056209,16,27.953125,VERIFIED
smoke-r3,rocksdb,1,1540.187381362705,1540.187381362705,1540.187381362705,1.5040892396120167,28639.833,0.166213542,16,32.5625,VERIFIED
smoke-r3,segment,1,508.9197631336337,508.9197631336337,508.9197631336337,0.49699195618518915,67666.583,0.50302625,16,22.03125,VERIFIED
