case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,3754.3675687170253,3754.3675687170253,3754.3675687170253,3.66637457882522,15157.417,0.06818725,16,8.4375,VERIFIED
smoke-r1,redb,1,1652.3542346182555,1652.3542346182555,1652.3542346182555,1.6136271822443902,20295.125,0.154930459,16,9.21875,VERIFIED
smoke-r1,rocksdb,1,3968.579454270408,3968.579454270408,3968.579454270408,3.8755658733109453,8467.792,0.064506709,16,10.21875,VERIFIED
smoke-r1,segment,1,1288.218570394309,1288.218570394309,1288.218570394309,1.2580259476506923,28068.167,0.198724041,16,7.265625,VERIFIED
smoke-r3,fjall,1,2911.4523285221394,2911.4523285221394,2911.4523285221394,2.8432151645724018,18525.459000000003,0.087928625,16,25.375,VERIFIED
smoke-r3,redb,1,725.5751814723616,725.5751814723616,725.5751814723616,0.7085695131566031,48806.25,0.220514709,10,27.0,VERIFIED
smoke-r3,rocksdb,1,1428.8558203155312,1428.8558203155312,1428.8558203155312,1.395367012026886,26051.625,0.179164333,16,32.203125,VERIFIED
smoke-r3,segment,1,479.64663533037776,479.64663533037776,479.64663533037776,0.46840491731482203,69297.417,0.266863125,8,22.0625,VERIFIED
