case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4249.697412414027,4249.697412414027,4249.697412414027,4.150095129310573,8071.999999999999,0.060239583,16,8.4375,VERIFIED
smoke-r1,redb,1,1638.5092374446494,1638.5092374446494,1638.5092374446494,1.6001066771920405,20381.584000000003,0.156239583,16,9.25,VERIFIED
smoke-r1,rocksdb,1,3925.326791122015,3925.326791122015,3925.326791122015,3.833326944455093,8983.625,0.0652175,16,10.28125,VERIFIED
smoke-r1,segment,1,1280.5845356171278,1280.5845356171278,1280.5845356171278,1.2505708355636014,31059.5,0.199908708,16,7.265625,VERIFIED
smoke-r3,fjall,1,2025.8393434223033,2025.8393434223033,2025.8393434223033,1.978358733810843,18020.208,0.126367375,16,25.3125,VERIFIED
smoke-r3,redb,1,754.9679322947118,754.9679322947118,754.9679322947118,0.7372733713815545,52061.833,0.33908725,16,28.171875,VERIFIED
smoke-r3,rocksdb,1,1384.6594873514603,1384.6594873514603,1384.6594873514603,1.3522065306166604,34398.333000000006,0.184883,16,32.328125,VERIFIED
smoke-r3,segment,1,445.572880972428,445.572880972428,445.572880972428,0.4351297665746367,83111.375,0.57454125,16,21.953125,VERIFIED
