case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4244.369015522586,4244.369015522586,4244.369015522586,4.144891616721275,8122.374999999999,0.060315208,16,8.4375,VERIFIED
smoke-r1,redb,1,1618.7006257580465,1618.7006257580465,1618.7006257580465,1.5807623298418423,20634.5,0.158151542,16,9.28125,VERIFIED
smoke-r1,rocksdb,1,3942.7176718597134,3942.7176718597134,3942.7176718597134,3.8503102264255014,9107.541000000001,0.064929833,16,10.234375,VERIFIED
smoke-r1,segment,1,1274.2872111465288,1274.2872111465288,1274.2872111465288,1.244421104635282,32082.874999999996,0.200896625,16,7.296875,VERIFIED
smoke-r3,fjall,1,2359.2014737046907,2359.2014737046907,2359.2014737046907,2.303907689164737,16193.917,0.108511292,16,25.1875,VERIFIED
smoke-r3,redb,1,795.8601790806025,795.8601790806025,795.8601790806025,0.7772072061334009,47403.083,0.321664542,16,28.34375,VERIFIED
smoke-r3,rocksdb,1,1427.9200197454566,1427.9200197454566,1427.9200197454566,1.3944531442826724,25844.583000000002,0.17928175,16,32.4375,VERIFIED
smoke-r3,segment,1,485.8936623617943,485.8936623617943,485.8936623617943,0.4745055296501898,73891.125,0.52686425,16,22.078125,VERIFIED
