case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,5055.313123231492,5055.313123231492,5055.313123231492,4.936829221905754,8102.458999999999,0.050639791,16,8.359375,VERIFIED
smoke-r1,redb,1,1586.6645800374663,1586.6645800374663,1586.6645800374663,1.5494771289428382,25034.083,0.16134475,16,9.4375,VERIFIED
smoke-r1,rocksdb,1,72061.07626595267,72061.07626595267,72061.07626595267,70.3721447909694,811.792,0.003552542,16,10.25,VERIFIED
smoke-r1,segment,1,1299.9738248239162,1299.9738248239162,1299.9738248239162,1.2695056883046056,28702.541,0.196927042,16,7.28125,VERIFIED
smoke-r3,fjall,1,2098.177202817849,2098.177202817849,2098.177202817849,2.0490011746268055,20047.334,0.122010667,16,25.203125,VERIFIED
smoke-r3,redb,1,815.0303758849627,815.0303758849627,815.0303758849627,0.7959281014501589,46382.792,0.235574042,12,27.546875,VERIFIED
smoke-r3,rocksdb,1,30798.53379730041,30798.53379730041,30798.53379730041,30.07669316142618,2157.041,0.008312084,16,30.703125,VERIFIED
smoke-r3,segment,1,457.31691756148,457.31691756148,457.31691756148,0.4465985523061328,70012.792,0.24490675,7,22.03125,VERIFIED
