case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4752.32814885272,4752.32814885272,4752.32814885272,4.640945457863984,9789.0,0.053868334,16,8.390625,VERIFIED
smoke-r1,redb,1,1693.1361609253963,1693.1361609253963,1693.1361609253963,1.6534532821537073,20485.791999999998,0.151198708,16,9.265625,VERIFIED
smoke-r1,rocksdb,1,3966.645039670867,3966.645039670867,3966.645039670867,3.873676796553581,12218.5,0.064538167,16,10.28125,VERIFIED
smoke-r1,segment,1,1318.6883989330759,1318.6883989330759,1318.6883989330759,1.287781639583082,28044.459000000003,0.194132291,16,7.28125,VERIFIED
smoke-r3,fjall,1,2114.8263993944656,2114.8263993944656,2114.8263993944656,2.065260155658658,18238.416,0.121050125,16,25.21875,VERIFIED
smoke-r3,redb,1,761.3885789708561,761.3885789708561,761.3885789708561,0.7435435341512266,52491.584,0.336227791,16,27.84375,VERIFIED
smoke-r3,rocksdb,1,1524.4326084162033,1524.4326084162033,1524.4326084162033,1.4887037191564485,24237.667,0.167931333,16,32.265625,VERIFIED
smoke-r3,segment,1,472.05527287814266,472.05527287814266,472.05527287814266,0.4609914774200612,74405.125,0.542309375,16,22.0,VERIFIED
