case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
r3-s4-b128-z1024,fjall,3,23194.876164292535,21418.972560083857,23299.594015330487,22.65124625419193,36832.708,3.005933166,503,267.640625,VERIFIED
r3-s4-b128-z1024,rocksdb,3,15960.903903482418,15479.761760201647,15976.617776089755,15.586820218244549,42918.291999999994,3.023387666,366,191.90625,VERIFIED
r3-s4-b128-z16384,fjall,3,7133.663115763647,6739.443871449345,7554.471247731075,111.46348618380698,765419.75,2.168781833,128,924.234375,VERIFIED
r3-s4-b128-z16384,rocksdb,3,9132.965224145655,9038.863136018095,10004.251379408517,142.70258162727586,116186.375,1.63770375,128,726.28125,VERIFIED
r3-s4-b128-z64,fjall,3,24773.12643565117,24061.63103022691,24847.139451025356,1.5120316428009748,33973.75,3.010934708,566,46.015625,VERIFIED
r3-s4-b128-z64,rocksdb,3,17924.163199198716,17555.820156631366,18067.689716815617,1.0940041015135935,40132.792,3.017984084,416,43.90625,VERIFIED
