case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4478.391977380622,4478.391977380622,4478.391977380622,4.373429665410764,8902.583,0.057163375,16,8.421875,VERIFIED
smoke-r1,redb,1,1640.2423201740194,1640.2423201740194,1640.2423201740194,1.6017991407949408,20462.917,0.1560745,16,9.28125,VERIFIED
smoke-r1,rocksdb,1,3979.986080309621,3979.986080309621,3979.986080309621,3.886705156552364,8269.958,0.064321833,16,10.28125,VERIFIED
smoke-r1,segment,1,1296.7893698730754,1296.7893698730754,1296.7893698730754,1.2663958690166752,31679.082999999995,0.197410625,16,7.28125,VERIFIED
smoke-r3,fjall,1,2122.9155674600993,2122.9155674600993,2122.9155674600993,2.073159733847753,16244.833,0.120588875,16,25.328125,VERIFIED
smoke-r3,redb,1,737.9975402484328,737.9975402484328,737.9975402484328,0.7207007228988601,48274.292,0.346884625,16,28.328125,VERIFIED
smoke-r3,rocksdb,1,1487.6945605929366,1487.6945605929366,1487.6945605929366,1.4528267193290396,28195.292,0.172078333,16,32.0625,VERIFIED
smoke-r3,segment,1,473.80982243926934,473.80982243926934,473.80982243926934,0.46270490472584896,80108.709,0.540301167,16,21.984375,VERIFIED
