case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4222.485951657286,4222.485951657286,4222.485951657286,4.123521437165318,8211.5,0.060627792,16,8.4375,VERIFIED
smoke-r1,redb,1,1758.5059568530642,1758.5059568530642,1758.5059568530642,1.7172909734893205,20210.042,0.145578125,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,4142.375249618562,4142.375249618562,4142.375249618562,4.045288329705627,8121.9169999999995,0.061800292,16,10.234375,VERIFIED
smoke-r1,segment,1,1317.4301129570754,1317.4301129570754,1317.4301129570754,1.286552844684644,26547.125,0.194317708,16,7.28125,VERIFIED
smoke-r3,fjall,1,2045.8252877191544,2045.8252877191544,2045.8252877191544,1.9978762575382367,20129.708,0.125132875,16,25.296875,VERIFIED
smoke-r3,redb,1,755.760646033411,755.760646033411,755.760646033411,0.738047505892003,47771.458000000006,0.338731583,16,28.03125,VERIFIED
smoke-r3,rocksdb,1,1412.658009523147,1412.658009523147,1412.658009523147,1.3795488374249483,29949.458000000002,0.181218666,16,32.265625,VERIFIED
smoke-r3,segment,1,469.1179300171338,469.1179300171338,469.1179300171338,0.45812297853235723,89871.0,0.545705,16,21.9375,VERIFIED
