case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4494.358982569823,4494.358982569823,4494.358982569823,4.3890224439158425,11271.542000000001,0.056960292,16,8.4375,VERIFIED
smoke-r1,redb,1,1675.1345810320245,1675.1345810320245,1675.1345810320245,1.6358736142890864,20525.458,0.152823542,16,9.21875,VERIFIED
smoke-r1,rocksdb,1,3974.350411831194,3974.350411831194,3974.350411831194,3.8812015740539003,8419.582999999999,0.064413042,16,10.234375,VERIFIED
smoke-r1,segment,1,1326.0947828007227,1326.0947828007227,1326.0947828007227,1.2950144363288307,25019.5,0.193048041,16,7.28125,VERIFIED
smoke-r3,fjall,1,2802.3201240245585,2802.3201240245585,2802.3201240245585,2.736640746117733,16418.583,0.091352875,16,25.328125,VERIFIED
smoke-r3,redb,1,749.2238889240933,749.2238889240933,749.2238889240933,0.7316639540274349,52032.667,0.341686916,16,28.1875,VERIFIED
smoke-r3,rocksdb,1,1477.542513890602,1477.542513890602,1477.542513890602,1.442912611221291,27142.083000000002,0.173260666,16,32.453125,VERIFIED
smoke-r3,segment,1,476.4380298813259,476.4380298813259,476.4380298813259,0.46527151355598234,74011.25,0.537320667,16,21.953125,VERIFIED
