case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4289.274718830502,4289.274718830502,4289.274718830502,4.188744842607912,8112.875,0.05968375,16,8.359375,VERIFIED
smoke-r1,redb,1,1789.4829472865226,1789.4829472865226,1789.4829472865226,1.7475419407094948,19825.790999999997,0.143058083,16,9.296875,VERIFIED
smoke-r1,rocksdb,1,3991.881075251215,3991.881075251215,3991.881075251215,3.8983213625500146,8205.625,0.064130167,16,10.234375,VERIFIED
smoke-r1,segment,1,1320.7080794770754,1320.7080794770754,1320.7080794770754,1.2897539838643315,25514.790999999997,0.193835416,16,7.25,VERIFIED
smoke-r3,fjall,1,2536.5757879600205,2536.5757879600205,2536.5757879600205,2.4771247929297076,20087.834,0.100923458,16,25.25,VERIFIED
smoke-r3,redb,1,768.190989948494,768.190989948494,768.190989948494,0.7501865136215762,53389.709,0.333250459,16,28.25,VERIFIED
smoke-r3,rocksdb,1,1560.6239079328457,1560.6239079328457,1560.6239079328457,1.5240467850906696,24107.708,0.164036959,16,32.3125,VERIFIED
smoke-r3,segment,1,447.05176130317335,447.05176130317335,447.05176130317335,0.4365739856476302,82828.167,0.572640625,16,21.984375,VERIFIED
