case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4344.561025384286,4344.561025384286,4344.561025384286,4.242735376351842,9948.166,0.05892425,16,8.46875,VERIFIED
smoke-r1,redb,1,1731.715937705578,1731.715937705578,1731.715937705578,1.6911288454156035,20097.75,0.14783025,16,9.3125,VERIFIED
smoke-r1,rocksdb,1,3852.506198246056,3852.506198246056,3852.506198246056,3.762213084224664,9042.833,0.06645025,16,10.34375,VERIFIED
smoke-r1,segment,1,1500.5359609656202,1500.5359609656202,1500.5359609656202,1.4653671493804885,24040.958000000002,0.170605708,16,7.296875,VERIFIED
smoke-r3,fjall,1,1836.9953644570098,1836.9953644570098,1836.9953644570098,1.7939407856025487,19569.833,0.139358,16,27.0,VERIFIED
smoke-r3,redb,1,821.1299839141919,821.1299839141919,821.1299839141919,0.8018847499162031,43984.583,0.3117655,16,28.359375,VERIFIED
smoke-r3,rocksdb,1,1508.007978893779,1508.007978893779,1508.007978893779,1.472664041888456,25935.625,0.169760375,16,32.484375,VERIFIED
smoke-r3,segment,1,484.7827224195202,484.7827224195202,484.7827224195202,0.4734206273628127,73897.33399999999,0.528071625,16,21.984375,VERIFIED
