case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,4235.9414068699825,4235.9414068699825,4235.9414068699825,4.136661530146467,8131.1669999999995,0.060435208,16,8.40625,VERIFIED
smoke-r1,redb,1,1690.4468293391574,1690.4468293391574,1690.4468293391574,1.6508269817765209,20225.458000000002,0.15143925,16,9.265625,VERIFIED
smoke-r1,rocksdb,1,3991.367607342102,3991.367607342102,3991.367607342102,3.8978199290450215,12021.75,0.064138417,16,10.328125,VERIFIED
smoke-r1,segment,1,1331.0329133087396,1331.0329133087396,1331.0329133087396,1.299836829403066,24593.959,0.192331833,16,7.28125,VERIFIED
smoke-r3,fjall,1,2049.7183526849167,2049.7183526849167,2049.7183526849167,2.001678078793864,17754.540999999997,0.124895208,16,25.328125,VERIFIED
smoke-r3,redb,1,762.8293519451776,762.8293519451776,762.8293519451776,0.7449505390089625,46780.458,0.33559275,16,28.125,VERIFIED
smoke-r3,rocksdb,1,1546.0800523290118,1546.0800523290118,1546.0800523290118,1.5098438011025506,24069.625,0.165580042,16,32.609375,VERIFIED
smoke-r3,segment,1,456.3684227478751,456.3684227478751,456.3684227478751,0.4456722878397218,94179.417,0.560950292,16,22.015625,VERIFIED
