case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
smoke-r1,fjall,1,5239.272027710837,5239.272027710837,5239.272027710837,5.116476589561365,8026.5830000000005,0.04886175,16,8.421875,VERIFIED
smoke-r1,redb,1,1841.464971703661,1841.464971703661,1841.464971703661,1.7983056364293564,19152.125,0.13901975,16,9.34375,VERIFIED
smoke-r1,rocksdb,1,3849.009086894011,3849.009086894011,3849.009086894011,3.7587979364199327,10316.417,0.066510625,16,10.203125,VERIFIED
smoke-r1,segment,1,1328.306923080683,1328.306923080683,1328.306923080683,1.2971747295709795,24765.5,0.192726542,16,7.28125,VERIFIED
smoke-r3,fjall,1,2100.599722861971,2100.599722861971,2100.599722861971,2.0513669168573934,17092.333000000002,0.121869958,16,25.203125,VERIFIED
smoke-r3,redb,1,769.0224145310966,769.0224145310966,769.0224145310966,0.750998451690524,47197.708,0.332890167,16,28.296875,VERIFIED
smoke-r3,rocksdb,1,1541.8153482068606,1541.8153482068606,1541.8153482068606,1.5056790509832623,25145.25,0.166038041,16,32.28125,VERIFIED
smoke-r3,segment,1,483.1453900282505,483.1453900282505,483.1453900282505,0.4718216699494634,75665.709,0.529861208,16,22.03125,VERIFIED
